node,operation,nworker,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
neutron_0,deploy,10,0,0,0,0,1,1,0.000284194946289062,3.74317169189453E-05,9.5367431640625E-07,0,0,0,0.495092630386353,0,0.495092630386353,0.495415210723877
neutron_0,deploy,10,0,0,0,0,1,1,0.000214099884033203,2.90870666503906E-05,4.76837158203125E-07,0,0,0,0.498382806777954,0,0.498382806777954,0.498626470565796
nova_0,deploy,10,0,0,0,0,1,1,0.000287294387817383,3.12328338623047E-05,7.15255737304688E-07,0,0,0,0.532577753067017,0,0.532577753067017,0.532896995544434
nova_0,deploy,10,0,0,0,0,1,1,0.000266075134277344,2.88486480712891E-05,4.76837158203125E-07,0,0,0,0.478242158889771,0,0.478242158889771,0.478537559509277
nova_0,deploy,10,0,0,0,0,1,1,0.00026392936706543,2.95639038085937E-05,4.76837158203125E-07,0,0,0,0.520378351211548,0,0.520378351211548,0.52067232131958
nova_0,deploy,10,0,0,0,0,1,1,0.000345230102539062,3.12328338623047E-05,4.76837158203125E-07,0,0,0,0.456390142440796,0,0.456390142440796,0.456767082214356
nova_0,deploy,10,0,0,0,0,1,1,0.000269174575805664,2.74181365966797E-05,4.76837158203125E-07,0,0,0,0.512212991714478,0,0.512212991714478,0.512510061264038
nova_0,deploy,10,0,0,0,0,1,1,0.000386238098144531,3.67164611816406E-05,4.76837158203125E-07,0,0,0,0.524575710296631,0,0.524575710296631,0.524999141693115
nova_0,deploy,10,0,0,0,0,1,1,0.00036311149597168,3.67164611816406E-05,7.15255737304688E-07,0,0,0,0.50200891494751,0,0.50200891494751,0.5024094581604
nova_0,deploy,10,0,0,0,0,1,1,0.000292301177978516,3.00407409667969E-05,4.76837158203125E-07,0,0,0,0.433511972427368,0,0.433511972427368,0.433834791183472
nova_0,deploy,10,0,0,0,0,1,1,0.000309467315673828,2.88486480712891E-05,7.15255737304688E-07,0,0,0,0.465311765670776,0,0.465311765670776,0.465650796890259
nova_0,deploy,10,0,0,0,0,1,1,0.000275373458862305,2.95639038085937E-05,7.15255737304688E-07,0,0,0,0.437291622161865,0,0.437291622161865,0.437597274780273
worker_1,deploy,10,0,0,0,0,9,9,0.00108671188354492,7.34329223632812E-05,1.9073486328125E-06,0,0,0,2.11845779418945,0,2.11845779418945,2.11961984634399
worker_1,deploy,10,0,0,0,0,9,9,0.000942468643188477,8.08238983154297E-05,0.0000152587890625,0,0,0,1.81339192390442,0,1.81339192390442,1.81443047523499
worker_1,deploy,10,0,0,0,0,9,9,0.00104093551635742,8.05854797363281E-05,2.14576721191406E-06,0,0,0,2.01028037071228,0,2.01028037071228,2.01140403747559
worker_1,deploy,10,0,0,0,0,9,9,0.000851154327392578,7.17639923095703E-05,1.9073486328125E-06,0,0,0,1.99511933326721,0,1.99511933326721,1.99604415893555
worker_1,deploy,10,0,0,0,0,9,9,0.000960826873779297,0.000091552734375,2.38418579101562E-06,0,0,0,1.87237405776978,0,1.87237405776978,1.87342882156372
worker_1,deploy,10,0,0,0,0,9,9,0.000884771347045898,7.05718994140625E-05,1.66893005371094E-06,0,0,0,2.06373739242554,0,2.06373739242554,2.06469440460205
worker_1,deploy,10,0,0,0,0,9,9,0.00100040435791016,7.15255737304687E-05,3.09944152832031E-06,0,0,0,1.82552361488342,0,1.82552361488342,1.82659864425659
worker_1,deploy,10,0,0,0,0,9,9,0.000883340835571289,6.98566436767578E-05,2.62260437011719E-06,0,0,0,1.89631080627441,0,1.89631080627441,1.89726662635803
worker_1,deploy,10,0,0,0,0,9,9,0.000951766967773438,7.20024108886719E-05,2.38418579101562E-06,0,0,0,1.91781497001648,0,1.91781497001648,1.91884112358093
worker_1,deploy,10,0,0,0,0,9,9,0.000891923904418945,7.17639923095703E-05,2.38418579101562E-06,0,0,0,1.81484889984131,0,1.81484889984131,1.81581497192383
neutron_1,deploy,10,0,0,0,0,1,1,0.000308036804199219,3.12328338623047E-05,4.76837158203125E-07,0,0,0,0.573107481002808,0,0.573107481002808,0.573447227478027
neutron_1,deploy,10,0,0,0,0,1,1,0.000213146209716797,3.14712524414062E-05,7.15255737304688E-07,0,0,0,0.442110538482666,0,0.442110538482666,0.442355871200562
neutron_1,deploy,10,0,0,0,0,1,1,0.000306606292724609,3.12328338623047E-05,7.15255737304688E-07,0,0,0,0.485573768615723,0,0.485573768615723,0.485912322998047
neutron_1,deploy,10,0,0,0,0,1,1,0.000220298767089844,2.86102294921875E-05,4.76837158203125E-07,0,0,0,0.487464904785156,0,0.487464904785156,0.487714290618897
neutron_1,deploy,10,0,0,0,0,1,1,0.000355720520019531,4.64916229248047E-05,9.5367431640625E-07,0,0,0,0.526236534118652,0,0.526236534118652,0.526639699935913
neutron_1,deploy,10,0,0,0,0,1,1,0.000214815139770508,3.02791595458984E-05,4.76837158203125E-07,0,0,0,0.521950483322144,0,0.521950483322144,0.522196054458618
neutron_1,deploy,10,0,0,0,0,1,1,0.000360727310180664,3.14712524414062E-05,4.76837158203125E-07,0,0,0,0.422661304473877,0,0.422661304473877,0.423053979873657
neutron_1,deploy,10,0,0,0,0,1,1,0.000274419784545898,3.09944152832031E-05,4.76837158203125E-07,0,0,0,0.485497236251831,0,0.485497236251831,0.485803127288818
neutron_1,deploy,10,0,0,0,0,1,1,0.00021052360534668,3.09944152832031E-05,4.76837158203125E-07,0,0,0,0.497374057769775,0,0.497374057769775,0.497616052627564
neutron_1,deploy,10,0,0,0,0,1,1,0.000272512435913086,2.45571136474609E-05,4.76837158203125E-07,0,0,0,0.451352834701538,0,0.451352834701538,0.451650381088257
nova_1,deploy,10,0,0,0,0,1,1,0.00032496452331543,3.76701354980469E-05,4.76837158203125E-07,0,0,0,0.61426568031311,0,0.61426568031311,0.614628791809082
nova_1,deploy,10,0,0,0,0,1,1,0.000275850296020508,0.000030517578125,4.76837158203125E-07,0,0,0,0.454086303710938,0,0.454086303710938,0.454393148422241
nova_1,deploy,10,0,0,0,0,1,1,0.000432252883911133,2.81333923339844E-05,4.76837158203125E-07,0,0,0,0.513864278793335,0,0.513864278793335,0.514325141906738
nova_1,deploy,10,0,0,0,0,1,1,0.000272274017333984,2.95639038085937E-05,4.76837158203125E-07,0,0,0,0.476363658905029,0,0.476363658905029,0.47666597366333
nova_1,deploy,10,0,0,0,0,1,1,0.000317811965942383,3.07559967041016E-05,4.76837158203125E-07,0,0,0,0.499495029449463,0,0.499495029449463,0.499844074249268
nova_1,deploy,10,0,0,0,0,1,1,0.000206947326660156,2.14576721191406E-05,4.76837158203125E-07,0,0,0,0.496155261993408,0,0.496155261993408,0.496384143829346
nova_1,deploy,10,0,0,0,0,1,1,0.000298261642456055,2.86102294921875E-05,4.76837158203125E-07,0,0,0,0.50272536277771,0,0.50272536277771,0.503052711486816
nova_1,deploy,10,0,0,0,0,1,1,0.000267744064331055,2.81333923339844E-05,4.76837158203125E-07,0,0,0,0.434504747390747,0,0.434504747390747,0.43480110168457
nova_1,deploy,10,0,0,0,0,1,1,0.000398159027099609,2.83718109130859E-05,4.76837158203125E-07,0,0,0,0.471916437149048,0,0.471916437149048,0.472343444824219
nova_1,deploy,10,0,0,0,0,1,1,0.000486850738525391,3.55243682861328E-05,4.76837158203125E-07,0,0,0,0.500341176986694,0,0.500341176986694,0.500864028930664
